id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
ADIF-001,transporte,estacion_ferrocarril,AEROPUERTO DE JEREZ,"Estación/instalación ferroviaria: AEROPUERTO DE JEREZ. WGS84: 36.756074, -6.062335.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.756074,-6.062335,2026-08-28
ADIF-002,transporte,estacion_ferrocarril,ALGECIRAS,"Estación/instalación ferroviaria: ALGECIRAS. WGS84: 36.126527, -5.449198.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.126527,-5.449198,2026-08-28
ADIF-003,transporte,estacion_ferrocarril,ALGECIRAS CONTENEDORES,"Estación/instalación ferroviaria: ALGECIRAS CONTENEDORES. WGS84: 36.126587, -5.450108.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.126587,-5.450108,2026-08-28
ADIF-004,transporte,estacion_ferrocarril,ALGECIRAS-PUERTO (CGD),"Estación/instalación ferroviaria: ALGECIRAS-PUERTO (CGD). WGS84: 36.124534, -5.440902.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.124534,-5.440902,2026-08-28
ADIF-005,transporte,estacion_ferrocarril,ALMORAIMA,"Estación/instalación ferroviaria: ALMORAIMA. WGS84: 36.276709, -5.429975.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.276709,-5.429975,2026-08-28
ADIF-006,transporte,estacion_ferrocarril,ARCOS DE LA FRONTERA,"Estación/instalación ferroviaria: ARCOS DE LA FRONTERA. WGS84: 36.748766, -5.816672.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.748766,-5.816672,2026-08-28
ADIF-007,transporte,estacion_ferrocarril,ARRIATE,"Estación/instalación ferroviaria: ARRIATE. WGS84: 36.791171, -5.140338.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.791171,-5.140338,2026-08-28
ADIF-008,transporte,estacion_ferrocarril,AZUCARERA DEL GUADALETE,"Estación/instalación ferroviaria: AZUCARERA DEL GUADALETE. WGS84: 36.657319, -6.126129.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.657319,-6.126129,2026-08-28
ADIF-009,transporte,estacion_ferrocarril,BENAOJAN-MONTEJAQUE,"Estación/instalación ferroviaria: BENAOJAN-MONTEJAQUE. WGS84: 36.713629, -5.246324.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.713629,-5.246324,2026-08-28
ADIF-010,transporte,estacion_ferrocarril,BONANZA,"Estación/instalación ferroviaria: BONANZA. WGS84: 36.804941, -6.334686.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.804941,-6.334686,2026-08-28
ADIF-011,transporte,estacion_ferrocarril,CADIZ,"Estación/instalación ferroviaria: CADIZ. WGS84: 36.529276, -6.288518.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.529276,-6.288518,2026-08-28
ADIF-012,transporte,estacion_ferrocarril,CADIZ CONTENEDORES,"Estación/instalación ferroviaria: CADIZ CONTENEDORES. WGS84: 36.536968, -6.289863.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.536968,-6.289863,2026-08-28
ADIF-013,transporte,estacion_ferrocarril,CASTELLAR DE LA FRONTERA,"Estación/instalación ferroviaria: CASTELLAR DE LA FRONTERA. WGS84: 36.331102, -5.406701.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.331102,-5.406701,2026-08-28
ADIF-014,transporte,estacion_ferrocarril,CAÑADA ANCHA,"Estación/instalación ferroviaria: CAÑADA ANCHA. WGS84: 36.718473, -6.094748.",ADIF — IDEADIF (WFS INSPIRE RailwayStationNode),https://ideadif.adif.es/services/wfs,alta,Cádiz,,36.718473,-6.094748,2026-08-28
