id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
GBIF-0001,flora,especie,alcornoque,alcornoque (Quercus suber L.). Presente en la provincia de Cádiz. Grupo: Magnoliopsida.,GBIF,https://www.gbif.org/species/2879411,media,Cádiz,,,,2026-08-28
GBIF-0002,fauna,especie,Gaviota patiamarilla,"Gaviota patiamarilla (Larus michahellis J.F.Naumann, 1840). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/9413670,media,Cádiz,,,,2026-08-28
GBIF-0003,fauna,especie,Curruca Capirotada,"Curruca Capirotada (Sylvia atricapilla (Linnaeus, 1758)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2492956,media,Cádiz,,,,2026-08-28
GBIF-0004,flora,especie,Olea europaea L.,Olea europaea L. (Olea europaea L.). Presente en la provincia de Cádiz. Grupo: Magnoliopsida.,GBIF,https://www.gbif.org/species/5415040,media,Cádiz,,,,2026-08-28
GBIF-0005,fauna,especie,Cardelino,"Cardelino (Carduelis carduelis (Linnaeus, 1758)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2494686,media,Cádiz,,,,2026-08-28
GBIF-0006,flora,especie,Carrasca,Carrasca (Quercus rotundifolia Lam.). Presente en la provincia de Cádiz. Grupo: Magnoliopsida.,GBIF,https://www.gbif.org/species/2881550,media,Cádiz,,,,2026-08-28
GBIF-0007,fauna,especie,"""Golondrina Tijereta, Golondrina de Horquilla""","""Golondrina Tijereta, Golondrina de Horquilla"" (Hirundo rustica Linnaeus, 1758). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/9515886,media,Cádiz,,,,2026-08-28
GBIF-0008,fauna,especie,"Passer domesticus (Linnaeus, 1758)","Passer domesticus (Linnaeus, 1758) (Passer domesticus (Linnaeus, 1758)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/5231190,media,Cádiz,,,,2026-08-28
GBIF-0009,flora,especie,Pistacia lentiscus L.,Pistacia lentiscus L. (Pistacia lentiscus L.). Presente en la provincia de Cádiz. Grupo: Magnoliopsida.,GBIF,https://www.gbif.org/species/3190583,media,Cádiz,,,,2026-08-28
GBIF-0010,fauna,especie,"Turdus merula Linnaeus, 1758","Turdus merula Linnaeus, 1758 (Turdus merula Linnaeus, 1758). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2490719,media,Cádiz,,,,2026-08-28
GBIF-0011,fauna,especie,Curruca cabecinegra,"Curruca cabecinegra (Curruca melanocephala (J.F.Gmelin, 1789)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/9990095,media,Cádiz,,,,2026-08-28
GBIF-0012,fauna,especie,"Chloris chloris (Linnaeus, 1758)","Chloris chloris (Linnaeus, 1758) (Chloris chloris (Linnaeus, 1758)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/5845582,media,Cádiz,,,,2026-08-28
GBIF-0013,fauna,especie,Estornino Negro,"Estornino Negro (Sturnus unicolor Temminck, 1820). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2489104,media,Cádiz,,,,2026-08-28
GBIF-0014,fauna,especie,"Saxicola rubicola (Linnaeus, 1766)","Saxicola rubicola (Linnaeus, 1766) (Saxicola rubicola (Linnaeus, 1766)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/4408759,media,Cádiz,,,,2026-08-28
GBIF-0015,fauna,especie,"Milvus migrans (Boddaert, 1783)","Milvus migrans (Boddaert, 1783) (Milvus migrans (Boddaert, 1783)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/5229167,media,Cádiz,,,,2026-08-28
GBIF-0016,fauna,especie,Aguila calzada,"Aguila calzada (Hieraaetus pennatus (Gmelin, 1788)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2480685,media,Cádiz,,,,2026-08-28
GBIF-0017,fauna,especie,Gaviota Dorsinegra Menor,"Gaviota Dorsinegra Menor (Larus fuscus Linnaeus, 1758). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2481174,media,Cádiz,,,,2026-08-28
GBIF-0018,fauna,especie,Buitre Leonado,"Buitre Leonado (Gyps fulvus (Hablizl, 1783)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2480389,media,Cádiz,,,,2026-08-28
GBIF-0019,fauna,especie,Cernicalo común,"Cernicalo común (Falco tinnunculus Linnaeus, 1758). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/9616058,media,Cádiz,,,,2026-08-28
GBIF-0020,fauna,especie,"Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula (Linnaeus, 1758) (Erithacus rubecula (Linnaeus, 1758)). Presente en la provincia de Cádiz. Grupo: Aves.",GBIF,https://www.gbif.org/species/2492462,media,Cádiz,,,,2026-08-28
