id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
DIR-GC-001,directorios,guardia_civil,PUESTO P. DE CHICLANA DE LA FRONTERA,PUESTO P. DE CHICLANA DE LA FRONTERA — Chiclana de la Frontera. Tel: 956400057,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Chiclana de la Frontera,36.424055,-6.147360,2026-08-28
DIR-GC-002,directorios,guardia_civil,PUESTO DE EL PUERTO DE SANTA MARIA,"PUESTO DE EL PUERTO DE SANTA MARIA — Puerto de Santa María, El. Tel: 956871336",Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,"Puerto de Santa María, El",36.609320,-6.217043,2026-08-28
DIR-GC-003,directorios,guardia_civil,PUESTO DE PUERTO REAL,PUESTO DE PUERTO REAL — Puerto Real. Tel: 956830099,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Puerto Real,36.528256,-6.195738,2026-08-28
DIR-GC-004,directorios,guardia_civil,PUESTO P. DE CONIL DE LA FRONTERA,PUESTO P. DE CONIL DE LA FRONTERA — Conil de la Frontera. Tel: 956440050,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Conil de la Frontera,36.282230,-6.083250,2026-08-28
DIR-GC-005,directorios,guardia_civil,PUESTO P. DE JEREZ DE LA FRONTERA,PUESTO P. DE JEREZ DE LA FRONTERA — Jerez de la Frontera. Tel: 956330362,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Jerez de la Frontera,36.681393,-6.123622,2026-08-28
DIR-GC-006,directorios,guardia_civil,PUESTO DE ROTA,PUESTO DE ROTA — Rota. Tel: 956810123,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Rota,36.627463,-6.359916,2026-08-28
DIR-GC-007,directorios,guardia_civil,PUESTO DE SAN JOSE DEL VALLE,PUESTO DE SAN JOSE DEL VALLE — San José del Valle. Tel: 956160191,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,San José del Valle,36.604942,-5.798427,2026-08-28
DIR-GC-008,directorios,guardia_civil,PUESTO DE BARCA FLORIDA,PUESTO DE BARCA FLORIDA — Jerez de la Frontera. Tel: 956163007,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Jerez de la Frontera,36.650217,-5.931879,2026-08-28
DIR-GC-009,directorios,guardia_civil,PUESTO DE ALGAR,PUESTO DE ALGAR — Algar. Tel: 956710013,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Algar,36.656802,-5.655562,2026-08-28
DIR-GC-010,directorios,guardia_civil,PUESTO DE SANLUCAR DE BARRAMEDA,PUESTO DE SANLUCAR DE BARRAMEDA — Sanlúcar de Barrameda. Tel: 956385257,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Sanlúcar de Barrameda,36.791832,-6.334463,2026-08-28
DIR-GC-011,directorios,guardia_civil,PUESTO P. DE CHIPIONA,PUESTO P. DE CHIPIONA — Chipiona. Tel: 956371499,Guardia Civil (Oficial),https://web.guardiacivil.es,alta,Cádiz,Chipiona,36.743542,-6.429084,2026-08-28
