id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
GEO-MUN-001,geografia,municipio,Alcalá de los Gazules,"Municipio de Alcalá de los Gazules (Cádiz). Código INE 11001. Coordenadas WGS84 (centroide): 36.443834, -5.694421.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Alcalá de los Gazules,36.443834,-5.694421,2026-08-28
GEO-MUN-002,geografia,municipio,Alcalá del Valle,"Municipio de Alcalá del Valle (Cádiz). Código INE 11002. Coordenadas WGS84 (centroide): 36.921574, -5.149582.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Alcalá del Valle,36.921574,-5.149582,2026-08-28
GEO-MUN-003,geografia,municipio,Algar,"Municipio de Algar (Cádiz). Código INE 11003. Coordenadas WGS84 (centroide): 36.655191, -5.644518.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Algar,36.655191,-5.644518,2026-08-28
GEO-MUN-004,geografia,municipio,Algeciras,"Municipio de Algeciras (Cádiz). Código INE 11004. Coordenadas WGS84 (centroide): 36.0642, -5.437432.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Algeciras,36.0642,-5.437432,2026-08-28
GEO-MUN-005,geografia,municipio,Algodonales,"Municipio de Algodonales (Cádiz). Código INE 11005. Coordenadas WGS84 (centroide): 36.89103, -5.434109.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Algodonales,36.89103,-5.434109,2026-08-28
GEO-MUN-006,geografia,municipio,Arcos de la Frontera,"Municipio de Arcos de la Frontera (Cádiz). Código INE 11006. Coordenadas WGS84 (centroide): 36.743577, -5.754659.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Arcos de la Frontera,36.743577,-5.754659,2026-08-28
GEO-MUN-007,geografia,municipio,Barbate,"Municipio de Barbate (Cádiz). Código INE 11007. Coordenadas WGS84 (centroide): 36.181389, -6.006184.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Barbate,36.181389,-6.006184,2026-08-28
GEO-MUN-008,geografia,municipio,Benalup-Casas Viejas,"Municipio de Benalup-Casas Viejas (Cádiz). Código INE 11901. Coordenadas WGS84 (centroide): 36.33178, -5.775659.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Benalup-Casas Viejas,36.33178,-5.775659,2026-08-28
GEO-MUN-009,geografia,municipio,Benaocaz,"Municipio de Benaocaz (Cádiz). Código INE 11009. Coordenadas WGS84 (centroide): 36.712381, -5.45253.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Benaocaz,36.712381,-5.45253,2026-08-28
GEO-MUN-010,geografia,municipio,Bornos,"Municipio de Bornos (Cádiz). Código INE 11010. Coordenadas WGS84 (centroide): 36.849286, -5.712434.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Bornos,36.849286,-5.712434,2026-08-28
GEO-MUN-011,geografia,municipio,Castellar de la Frontera,"Municipio de Castellar de la Frontera (Cádiz). Código INE 11013. Coordenadas WGS84 (centroide): 36.311546, -5.464737.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Castellar de la Frontera,36.311546,-5.464737,2026-08-28
GEO-MUN-012,geografia,municipio,Chiclana de la Frontera,"Municipio de Chiclana de la Frontera (Cádiz). Código INE 11015. Coordenadas WGS84 (centroide): 36.399713, -6.110282.",DERA / IECA (WFS g13_01_TerminoMunicipal),https://www.ideandalucia.es/services/DERA_g13_limites_administrativos/wfs,alta,Cádiz,Chiclana de la Frontera,36.399713,-6.110282,2026-08-28
