id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
NGA-00032,geografia,toponimo,Albergue Inturjoven Algeciras-Tarifa,"Albergue Inturjoven Algeciras-Tarifa (Servicio/Equipamiento) en Algeciras. WGS84: 36.076499, -5.51115.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Algeciras,36.076499,-5.51115,2026-08-28
NGA-00131,geografia,toponimo,Antigua Casa Peones Camineros,"Antigua Casa Peones Camineros (Servicio/Equipamiento) en Algeciras. WGS84: 36.092437, -5.446728.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Algeciras,36.092437,-5.446728,2026-08-28
NGA-00132,geografia,toponimo,Antigua Escuela de la Polvorilla,"Antigua Escuela de la Polvorilla (Servicio/Equipamiento) en Los Barrios. WGS84: 36.269934, -5.583717.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Los Barrios,36.269934,-5.583717,2026-08-28
NGA-00137,geografia,toponimo,"Antigua Iglesia de Jesús, María y José","Antigua Iglesia de Jesús, María y José (Servicio/Equipamiento) en Puerto Real. WGS84: 36.52896, -6.190671.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Puerto Real,36.52896,-6.190671,2026-08-28
NGA-00139,geografia,toponimo,Antiguo Cementerio de San José,"Antiguo Cementerio de San José (Servicio/Equipamiento) en Cádiz. WGS84: 36.51253, -6.282392.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Cádiz,36.51253,-6.282392,2026-08-28
NGA-00140,geografia,toponimo,Antiguo Fuerte de Isla Verde,"Antiguo Fuerte de Isla Verde (Servicio/Equipamiento) en Algeciras. WGS84: 36.122794, -5.433983.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Algeciras,36.122794,-5.433983,2026-08-28
NGA-00164,geografia,toponimo,Arroyo Acebuchales,"Arroyo Acebuchales (Curso Fluvial) en Arcos de la Frontera. WGS84: 36.694813, -5.545886.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Arcos de la Frontera,36.694813,-5.545886,2026-08-28
NGA-00165,geografia,toponimo,Arroyo Acebuchosa,"Arroyo Acebuchosa (Curso Fluvial) en Prado del Rey. WGS84: 36.789894, -5.516875.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Prado del Rey,36.789894,-5.516875,2026-08-28
NGA-00166,geografia,toponimo,Arroyo Agua de Enmedio,"Arroyo Agua de Enmedio (Curso Fluvial) en Tarifa. WGS84: 36.101766, -5.810212.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Tarifa,36.101766,-5.810212,2026-08-28
NGA-00167,geografia,toponimo,Arroyo Alamillos,"Arroyo Alamillos (Curso Fluvial) en Ronda. WGS84: 36.819197, -5.21386.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Ronda,36.819197,-5.21386,2026-08-28
