id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
OVERPASS-0001,geografia,farmacia,farmacia,"farmacia (farmacia) en San Roque. Coordenadas aprox: 36.2345, -5.3167.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.2344671&mlon=-5.3167017,alta,Cádiz,San Roque,36.234467,-5.316702,2026-08-28
OVERPASS-0002,supervivencia,agua potable,Fuente Arroyo Abrón,"Fuente Arroyo Abrón (agua potable). Coordenadas aprox: 36.4921, -5.1878.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.492132&mlon=-5.1877832,alta,Cádiz,,36.492132,-5.187783,2026-08-28
OVERPASS-0003,supervivencia,agua potable,Fuente del Algarrobo,"Fuente del Algarrobo (agua potable). Coordenadas aprox: 36.8803, -5.4096.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.8802649&mlon=-5.4095602,alta,Cádiz,,36.880265,-5.40956,2026-08-28
OVERPASS-0004,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.8808, -5.4050.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.8808266&mlon=-5.4050313,alta,Cádiz,,36.880827,-5.405031,2026-08-28
OVERPASS-0005,supervivencia,agua potable,Fuente Alta,"Fuente Alta (agua potable). Coordenadas aprox: 36.8833, -5.3949.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.8832744&mlon=-5.3948725,alta,Cádiz,,36.883274,-5.394872,2026-08-28
OVERPASS-0006,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.0653, -5.6984.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.0652875&mlon=-5.6984384,alta,Cádiz,,36.065287,-5.698438,2026-08-28
OVERPASS-0007,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.6112, -6.2803.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.6112046&mlon=-6.2802966,alta,Cádiz,,36.611205,-6.280297,2026-08-28
OVERPASS-0008,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.3846, -6.1311.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.3846467&mlon=-6.1311432,alta,Cádiz,,36.384647,-6.131143,2026-08-28
OVERPASS-0009,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.3847, -6.1290.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.3847398&mlon=-6.1289814,alta,Cádiz,,36.38474,-6.128981,2026-08-28
OVERPASS-0010,geografia,farmacia,Farmacia Galdón,"Farmacia Galdón (farmacia) en Estepona. Coordenadas aprox: 36.4181, -5.1544.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.41807&mlon=-5.15442,alta,Cádiz,Estepona,36.41807,-5.15442,2026-08-28
OVERPASS-0011,geografia,farmacia,Farmacia Rinconcillo,"Farmacia Rinconcillo (farmacia). Coordenadas aprox: 36.1573, -5.4463.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1572802&mlon=-5.446333,alta,Cádiz,,36.15728,-5.446333,2026-08-28
OVERPASS-0012,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.3812, -6.1274.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.381165&mlon=-6.1274369,alta,Cádiz,,36.381165,-6.127437,2026-08-28
OVERPASS-0013,geografia,farmacia,Farmacia Santa Ana,"Farmacia Santa Ana (farmacia). Coordenadas aprox: 36.4189, -6.1503.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4188561&mlon=-6.1503315,alta,Cádiz,,36.418856,-6.150332,2026-08-28
OVERPASS-0014,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4166, -6.1466.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4165572&mlon=-6.1466259,alta,Cádiz,,36.416557,-6.146626,2026-08-28
OVERPASS-0015,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4185, -6.1473.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4184738&mlon=-6.147334,alta,Cádiz,,36.418474,-6.147334,2026-08-28
OVERPASS-0016,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.0840, -5.4979.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.083953&mlon=-5.497904,alta,Cádiz,,36.083953,-5.497904,2026-08-28
OVERPASS-0017,supervivencia,agua potable,Fuente de los Ocho Caños,"Fuente de los Ocho Caños (agua potable). Coordenadas aprox: 36.7403, -5.1628.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7402786&mlon=-5.162802,alta,Cádiz,,36.740279,-5.162802,2026-08-28
OVERPASS-0018,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4314, -5.4465.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4313615&mlon=-5.4465322,alta,Cádiz,,36.431362,-5.446532,2026-08-28
OVERPASS-0019,geografia,centro de salud,Centros Médicos Quirúrgicos Girme,"Centros Médicos Quirúrgicos Girme (centro de salud). Coordenadas aprox: 36.5988, -6.2416.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5988486&mlon=-6.241575,alta,Cádiz,,36.598849,-6.241575,2026-08-28
OVERPASS-0020,geografia,farmacia,Farmacia 512,"Farmacia 512 (farmacia). Coordenadas aprox: 36.5307, -6.1967.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5307088&mlon=-6.1966853,alta,Cádiz,,36.530709,-6.196685,2026-08-28
OVERPASS-0021,geografia,farmacia,Farmacia Ribera del Muelle,"Farmacia Ribera del Muelle (farmacia). Coordenadas aprox: 36.5274, -6.1942.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5273784&mlon=-6.194196,alta,Cádiz,,36.527378,-6.194196,2026-08-28
OVERPASS-0022,orientacion,faro,faro,"faro (faro). Coordenadas aprox: 36.2859, -5.2698.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.2859033&mlon=-5.2697852,alta,Cádiz,,36.285903,-5.269785,2026-08-28
OVERPASS-0023,geografia,farmacia,Farmacia San Rafael,"Farmacia San Rafael (farmacia). Coordenadas aprox: 36.5330, -6.3030.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5330207&mlon=-6.3030394,alta,Cádiz,,36.533021,-6.303039,2026-08-28
OVERPASS-0024,geografia,farmacia,Almagro,"Almagro (farmacia). Coordenadas aprox: 36.3163, -6.1510.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.3163418&mlon=-6.1510466,alta,Cádiz,,36.316342,-6.151047,2026-08-28
OVERPASS-0025,geografia,farmacia,La Rosa,"La Rosa (farmacia). Coordenadas aprox: 36.5315, -6.3026.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5315446&mlon=-6.3026154,alta,Cádiz,,36.531545,-6.302615,2026-08-28
OVERPASS-0026,supervivencia,refugio,refugio,"refugio (refugio). Coordenadas aprox: 36.1316, -5.3511.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.131601&mlon=-5.3511367,alta,Cádiz,,36.131601,-5.351137,2026-08-28
OVERPASS-0027,geografia,farmacia,Ldo. Campos Muñoz,"Ldo. Campos Muñoz (farmacia). Coordenadas aprox: 36.4696, -6.1929.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.46957&mlon=-6.192861,alta,Cádiz,,36.46957,-6.192861,2026-08-28
OVERPASS-0028,geografia,farmacia,Farmacia Rodríguez Prada,"Farmacia Rodríguez Prada (farmacia). Coordenadas aprox: 36.4679, -6.1914.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4679317&mlon=-6.1914029,alta,Cádiz,,36.467932,-6.191403,2026-08-28
OVERPASS-0029,geografia,centro de salud,Centro de Salud Cayetano Roldán,"Centro de Salud Cayetano Roldán (centro de salud) en San Fernando. Coordenadas aprox: 36.4684, -6.1907.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4683733&mlon=-6.1907375,alta,Cádiz,San Fernando,36.468373,-6.190738,2026-08-28
OVERPASS-0030,geografia,farmacia,Farmacia Ruiz Tenllado,"Farmacia Ruiz Tenllado (farmacia) en Cortes de la Frontera. Coordenadas aprox: 36.6217, -5.3396.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.6216722&mlon=-5.3395765,alta,Cádiz,Cortes de la Frontera,36.621672,-5.339576,2026-08-28
OVERPASS-0031,geografia,centro de salud,Centro de Salud Olivillo,"Centro de Salud Olivillo (centro de salud) en Cádiz. Coordenadas aprox: 36.5332, -6.3055.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5331802&mlon=-6.3055288,alta,Cádiz,Cádiz,36.53318,-6.305529,2026-08-28
OVERPASS-0032,supervivencia,agua potable,Cuatro Chorros,"Cuatro Chorros (agua potable). Coordenadas aprox: 36.6184, -5.3421.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.6183856&mlon=-5.3420711,alta,Cádiz,,36.618386,-5.342071,2026-08-28
OVERPASS-0033,geografia,hospital,St Bernard's Hospital,"St Bernard's Hospital (hospital) en Gibraltar. Coordenadas aprox: 36.1432, -5.3595.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1432246&mlon=-5.3594905,alta,Cádiz,Gibraltar,36.143225,-5.35949,2026-08-28
OVERPASS-0034,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.5316, -6.2098.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5315829&mlon=-6.2097568,alta,Cádiz,,36.531583,-6.209757,2026-08-28
OVERPASS-0035,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4244, -6.1427.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4244199&mlon=-6.142654,alta,Cádiz,,36.42442,-6.142654,2026-08-28
OVERPASS-0036,geografia,centro de salud,Centro de salud Padre Salado,"Centro de salud Padre Salado (centro de salud). Coordenadas aprox: 36.4198, -6.1427.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4198041&mlon=-6.1426771,alta,Cádiz,,36.419804,-6.142677,2026-08-28
OVERPASS-0037,geografia,farmacia,Farmacia La Banda,"Farmacia La Banda (farmacia). Coordenadas aprox: 36.4196, -6.1428.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4195779&mlon=-6.1427647,alta,Cádiz,,36.419578,-6.142765,2026-08-28
OVERPASS-0038,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.7701, -6.3554.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7700781&mlon=-6.3553565,alta,Cádiz,,36.770078,-6.355357,2026-08-28
OVERPASS-0039,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4198, -6.1497.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4197846&mlon=-6.1496508,alta,Cádiz,,36.419785,-6.149651,2026-08-28
OVERPASS-0040,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4242, -6.1485.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4241766&mlon=-6.1484708,alta,Cádiz,,36.424177,-6.148471,2026-08-28
OVERPASS-0041,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.7034, -6.1286.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7034105&mlon=-6.1285532,alta,Cádiz,,36.70341,-6.128553,2026-08-28
OVERPASS-0042,orientacion,faro,Faro de las Puercas,"Faro de las Puercas (faro). Coordenadas aprox: 36.5485, -6.3037.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5485322&mlon=-6.303655,alta,Cádiz,,36.548532,-6.303655,2026-08-28
OVERPASS-0043,geografia,farmacia,Farmacia Licenciada María Josefa Corrales Sendino,"Farmacia Licenciada María Josefa Corrales Sendino (farmacia). Coordenadas aprox: 36.5344, -6.2991.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5343826&mlon=-6.2991323,alta,Cádiz,,36.534383,-6.299132,2026-08-28
OVERPASS-0044,geografia,farmacia,La Laguna,"La Laguna (farmacia). Coordenadas aprox: 36.5052, -6.2757.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5052416&mlon=-6.2756716,alta,Cádiz,,36.505242,-6.275672,2026-08-28
OVERPASS-0045,geografia,farmacia,Estadio,"Estadio (farmacia). Coordenadas aprox: 36.5044, -6.2741.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5043515&mlon=-6.2741042,alta,Cádiz,,36.504351,-6.274104,2026-08-28
OVERPASS-0046,geografia,farmacia,Farmacia Herbos,"Farmacia Herbos (farmacia). Coordenadas aprox: 36.5314, -6.2969.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5313554&mlon=-6.2969301,alta,Cádiz,,36.531355,-6.29693,2026-08-28
OVERPASS-0047,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.5363, -6.2914.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5362841&mlon=-6.2914403,alta,Cádiz,,36.536284,-6.29144,2026-08-28
OVERPASS-0048,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.5333, -6.2982.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5332926&mlon=-6.2982025,alta,Cádiz,,36.533293,-6.298203,2026-08-28
OVERPASS-0049,geografia,farmacia,Farmacia Central,"Farmacia Central (farmacia). Coordenadas aprox: 36.5318, -6.2963.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5318141&mlon=-6.2963262,alta,Cádiz,,36.531814,-6.296326,2026-08-28
OVERPASS-0050,geografia,farmacia,farmacia,"farmacia (farmacia) en Cádiz. Coordenadas aprox: 36.5354, -6.3009.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5353844&mlon=-6.3009221,alta,Cádiz,Cádiz,36.535384,-6.300922,2026-08-28
OVERPASS-0051,geografia,centro de salud,Centro de Salud La Lobilla Estepona,"Centro de Salud La Lobilla Estepona (centro de salud). Coordenadas aprox: 36.4325, -5.1419.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4325231&mlon=-5.1418993,alta,Cádiz,,36.432523,-5.141899,2026-08-28
OVERPASS-0052,geografia,hospital,Vithas Xanit Estepona,"Vithas Xanit Estepona (hospital). Coordenadas aprox: 36.4281, -5.1388.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4280645&mlon=-5.1387997,alta,Cádiz,,36.428064,-5.1388,2026-08-28
OVERPASS-0053,geografia,farmacia,Farmacia Ortopedia Ortega Urbano,"Farmacia Ortopedia Ortega Urbano (farmacia) en Estepona. Coordenadas aprox: 36.4293, -5.1404.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4292903&mlon=-5.1403708,alta,Cádiz,Estepona,36.42929,-5.140371,2026-08-28
OVERPASS-0054,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.4159, -6.1490.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4158912&mlon=-6.14897,alta,Cádiz,,36.415891,-6.14897,2026-08-28
OVERPASS-0055,geografia,farmacia,Farmacia Internacional Estepona Centro,"Farmacia Internacional Estepona Centro (farmacia). Coordenadas aprox: 36.4261, -5.1446.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4261025&mlon=-5.1446008,alta,Cádiz,,36.426102,-5.144601,2026-08-28
OVERPASS-0056,geografia,farmacia,farmacia,"farmacia (farmacia) en Estepona. Coordenadas aprox: 36.4264, -5.1467.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4264314&mlon=-5.146713,alta,Cádiz,Estepona,36.426431,-5.146713,2026-08-28
OVERPASS-0057,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.5063, -6.2743.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5063126&mlon=-6.2742844,alta,Cádiz,,36.506313,-6.274284,2026-08-28
OVERPASS-0058,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.8547, -5.3227.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.8547326&mlon=-5.3226672,alta,Cádiz,,36.854733,-5.322667,2026-08-28
OVERPASS-0059,geografia,farmacia,Farmacia Guzmán Fernández,"Farmacia Guzmán Fernández (farmacia) en Benarrabá. Coordenadas aprox: 36.5514, -5.2763.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.551443&mlon=-5.2762733,alta,Cádiz,Benarrabá,36.551443,-5.276273,2026-08-28
OVERPASS-0060,geografia,farmacia,Farmacia Ayala,"Farmacia Ayala (farmacia). Coordenadas aprox: 36.4239, -5.1495.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4238912&mlon=-5.1494689,alta,Cádiz,,36.423891,-5.149469,2026-08-28
OVERPASS-0061,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.8787, -6.2870.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.8786707&mlon=-6.2870369,alta,Cádiz,,36.878671,-6.287037,2026-08-28
OVERPASS-0062,geografia,farmacia,Farmacia Miguel Ángel Berraquero González,"Farmacia Miguel Ángel Berraquero González (farmacia). Coordenadas aprox: 36.4999, -6.2736.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4998543&mlon=-6.2735632,alta,Cádiz,,36.499854,-6.273563,2026-08-28
OVERPASS-0063,geografia,farmacia,Lcda. M. Alonso Barthe,"Lcda. M. Alonso Barthe (farmacia). Coordenadas aprox: 36.5350, -6.2977.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5349994&mlon=-6.297723,alta,Cádiz,,36.534999,-6.297723,2026-08-28
OVERPASS-0064,geografia,farmacia,Farmacia San Felipe,"Farmacia San Felipe (farmacia). Coordenadas aprox: 36.5146, -6.2819.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5146131&mlon=-6.281943,alta,Cádiz,,36.514613,-6.281943,2026-08-28
OVERPASS-0065,geografia,farmacia,Farmacia Guerrero Zieza,"Farmacia Guerrero Zieza (farmacia). Coordenadas aprox: 36.5100, -6.2788.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5099881&mlon=-6.2788433,alta,Cádiz,,36.509988,-6.278843,2026-08-28
OVERPASS-0066,geografia,farmacia,Ju Cantera Cavestany Ruiz Villegas,"Ju Cantera Cavestany Ruiz Villegas (farmacia). Coordenadas aprox: 36.5027, -6.2750.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5027287&mlon=-6.2750472,alta,Cádiz,,36.502729,-6.275047,2026-08-28
OVERPASS-0067,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.5072, -6.2777.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5072008&mlon=-6.2776714,alta,Cádiz,,36.507201,-6.277671,2026-08-28
OVERPASS-0068,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.5120, -6.2804.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5120107&mlon=-6.280364,alta,Cádiz,,36.512011,-6.280364,2026-08-28
