codigo_fao,nombre_cientifico,frecuencia
ALB,Ojos grandes,1
ANA,Engraulis anchoita,2
ANE,Engraulis encrasicholus,2
ARA,Aristeus antennalus,1
BET,Thunnus obesus,2
BFT,Thunnus thynnus,2
BGR,Pomadasys incisus,1
BLT,Auxis rochei,1
BOY,Bolinus brandaris,1
BRF,Helicolenus dectylopterus,1
BRZ,Taractes asper,1
BSC,Pagrus euriga,1
BSF,Aphanopus carbo,2
BSS,Dicentrarchus labrax,1
CBM,Sciaena umbra,1
CET,Dicologoglossa cuneata,1
CIL,Citharus linguatula,1
CLJ,Ruditapes philipinarum,1
COB,Umbrina cirrosa,1
CPR,Palaemon serratus,2
CTB,Diplodus vulgeris,1
CTC,Sepia officinalis,2
CTZ,Chelidonichthys lastoviza,1
CUS,Genypterus blacodes,1
DAL,Solea senegalensis,1
DAS,Solea nasuta,1
DEC,Dentex dentex,1
DEL,Dentex macrophthalmus,1
DEM,Dentex maroccanus,1
DEN,Dentex canarensis,1
DEP,Dentex grbbosus,1
DON,Donax variegatus,2
DPS,Parapenaeus longirostris,2
DXL,Donax trunculus,2
EDT,Eledone moschata,1
EEA,Epinephelus fasciatus,1
EJE,Sepia elegans,1
FAV,Pasíphaea sivado,1
FIM,Aphia minuta,2
FOR,Phycis phycis,1
GAG,Geleorhinus galeus,1
GBR,Plectorhinchus mediterraneus,1
GPD,Epinephelus marginatus,1
GRA,La boca,1
GRM,Macruronus magellanicus,2
GRN,Macruronus magellanicus,2
GRQ,Geryon longipes,1
GRX,Parapristipoma humile,1
GUG,Cuerpo no,1
GUR,Chelidonichthys cuculus,1
GUU,Chelidonichthys lucernús,1
GUX,Chelidonichthys lucernús,1
HKE,Mertuccius merlucchus,1
HKK,Merluccius capensis,1
HKM,Nombres científicos,2
HKN,Merluccius australis,2
HKO,Coloración plateada,1
HKP,Merluccius hubbsi,2
HKS,Merluccíns bilinearis,1
HMM,Trachurus mediterraneus,2
HMY,Caranx rhonchus,2
HOM,Nombres científicos,1
JAA,Trachurus picturatus,2
JAR,Sepia orbignyana,2
JDP,Denominaciones locales,1
JOD,Zeus faber,1
JOS,Zenopsis conchifera,1
KCP,Genypterus capensis,2
KLK,Callista chione,1
KTT,Acanthocardia tuberculata,1
LEE,Lichia amia,1
LEP,Lepidotrigla dieuzeidel,1
LHT,Trichiurus lepturus,1
LKO,Plesionika heterocarpus,1
LKT,Plesionika martia,2
LKW,Plesionika edwardsi,1
MAC,Scomber scombrus,2
MAS,Scomber japonicus,2
MGR,Argyrosomus regius,1
MON,Lophius piscatorius,1
MPO,Pteromylaeus bovinus,1
MUE,Hexaplex trunculus,1
MUR,Mullus surmuletus,2
MUT,Mullus barbatus,2
MYL,Pteromylaeus bovinus,1
OAL,Solea senegalensis,1
OAM,Solea impar,2
OAS,Solea nasuta,1
OCC,Octopus vulgaris,2
OCM,Denominaciones locales,1
OUB,Bothus podas,1
PAC,Pagellus eryihrinus,1
PAR,Pagellus bellottii,1
PDZ,Plesionika narva,1
PIL,Sardina pilchardus,2
POA,Brama brama,1
POP,Nombres científicos,1
REA,Pagrus auriga,1
RGL,Gymnura altavela,1
RMM,Mobula mobular,1
RPG,Pagrus pagrus,1
SAA,Sardinella aurita,2
SBA,Pagellus acarne,2
SBR,Pagellus bogaraveo,2
SBZ,Diplodus cervinus,1
SCS,Scorpaena spp,1
SDV,Tallas mínimas,1
SFS,Lepidopus caudalus,1
SHR,Diplodus puntazzo,1
SKA,Raja spp,1
SLO,Palinurus elephas,1
SOL,Solea vulgaris,2
SOO,Solea kleinii,2
SOS,Solea lascaris,1
SOX,Dicotogoglossa hexophthalma,1
SPU,Dicentrarchus punctatus,1
SQE,Todarodes sagittatus,2
SQF,Logio forbesi,2
SQM,Hex coindetil,1
SQR,Loligo vulgaris,1
SQZ,Alloteuthis spp,2
SVE,Chamelea gallina,2
SWA,Diplodus sargus,1
SWM,Carcinus spp,1
SYC,Seyliorhinus canicula,1
SYT,Scyliorhinus stellaris,1
TAL,Taractichthys longipinnís,1
TDQ,Todaropsis eblanae,2
TGS,Caracteristicas morfológicas,1
TOE,Torpedo spp,1
TUR,Psetta maxima,1
UCA,Umbrina canariensis,1
WHB,Micromesistius poutassou,1
WRF,Polyprion americanus,1
YFT,Thunnus albacares,2
YTN,Crystallogobius linearis,2
