Municipio,Comarca,Policia Local,Guardia Civil,Bomberos,Urgencias Sanitarias,Emergencias General
Alcalá de los Gazules,La Janda,956 42 03 23,956 42 00 24,085,061,112
Alcalá del Valle,Sierra de Cádiz,956 13 50 01,956 13 50 14,085,061,112
Algar,Sierra de Cádiz,956 71 00 01,956 71 00 59,085,061,112
Algeciras,Campo de Gibraltar,956 67 27 55,062 / 956 58 54 00,085,061,112
Algodonales,Sierra de Cádiz,636 45 08 26,956 13 70 04,085,061,112
Arcos de la Frontera,Sierra de Cádiz,956 70 16 53,956 70 00 24,085,061,112
Barbate,La Janda,956 43 14 96,956 43 00 66,085,061,112
Benalup-Casas Viejas,La Janda,956 42 41 79,956 42 40 12,085,061,112
Benaocaz,Sierra de Cádiz,956 12 55 00,956 12 55 19,085,061,112
Bornos,Sierra de Cádiz,956 71 28 66,956 71 20 22,085,061,112
Cádiz,Bahía de Cádiz,956 24 11 00,956 22 11 00,085,061,112
Castellar de la Frontera,Campo de Gibraltar,956 69 30 06,956 69 30 18,085,061,112
Chiclana de la Frontera,Bahía de Cádiz,956 40 01 54,956 40 01 09,085,061,112
Chipiona,Costa Noroeste,956 92 90 60,956 37 00 24,085,061,112
Conil de la Frontera,La Janda,956 44 01 25,956 44 00 70,085,061,112
El Bosque,Sierra de Cádiz,956 71 60 01,956 71 60 27,085,061,112
El Gastor,Sierra de Cádiz,956 12 70 33,956 12 71 08,085,061,112
El Puerto de Santa María,Bahía de Cádiz,956 86 16 99,956 87 13 32,085,061,112
Espera,Sierra de Cádiz,956 72 00 01,956 72 00 24,085,061,112
Grazalema,Sierra de Cádiz,956 13 20 01,956 13 20 24,085,061,112
Jerez de la Frontera,Campiña de Jerez,956 14 99 00,956 18 36 00,085,061,112
Jimena de la Frontera,Campo de Gibraltar,956 64 05 55,956 64 00 48,085,061,112
La Línea de la Concepción,Campo de Gibraltar,956 17 60 00,956 17 00 13,085,061,112
Los Barrios,Campo de Gibraltar,956 62 01 03,956 62 00 22,085,061,112
Medina Sidonia,La Janda,956 41 01 11,956 41 00 24,085,061,112
Olvera,Sierra de Cádiz,956 13 00 01,956 13 00 24,085,061,112
Paterna de Rivera,La Janda,956 41 60 01,956 41 60 17,085,061,112
Prado del Rey,Sierra de Cádiz,956 72 30 01,956 72 30 17,085,061,112
Puerto Real,Bahía de Cádiz,956 47 80 60,956 83 00 24,085,061,112
Puerto Serrano,Sierra de Cádiz,956 12 70 11,956 12 70 34,085,061,112
Rota,Costa Noroeste,956 81 41 13,956 81 00 48,085,061,112
San Fernando,Bahía de Cádiz,956 94 40 92,062 / 956 22 11 00,085,061,112
San José del Valle,Campiña de Jerez,956 92 90 05,956 39 80 14,085,061,112
San Martín del Tesorillo,Campo de Gibraltar,956 61 80 96,956 64 00 48,085,061,112
San Roque,Campo de Gibraltar,956 78 01 06,956 78 00 43,085,061,112
Sanlúcar de Barrameda,Costa Noroeste,956 36 56 27,956 36 03 61,085,061,112
Setenil de las Bodegas,Sierra de Cádiz,956 13 40 01,956 13 40 14,085,061,112
Tarifa,Campo de Gibraltar,956 68 21 74,956 68 40 13,085,061,112
Torre Alháquime,Sierra de Cádiz,956 13 40 03,956 13 00 24,085,061,112
Trebujena,Costa Noroeste,956 39 50 16,956 39 50 09,085,061,112
Ubrique,Sierra de Cádiz,956 46 17 44,956 46 00 24,085,061,112
Vejer de la Frontera,La Janda,956 44 74 65,956 44 70 33,085,061,112
Villaluenga del Rosario,Sierra de Cádiz,956 12 60 01,956 12 55 19,085,061,112
Villamartín,Sierra de Cádiz,956 73 00 09,956 73 00 24,085,061,112
Zahara de la Sierra,Sierra de Cádiz,956 12 30 03,956 13 70 04,085,061,112
