id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
TRANS-PAR-0001,transporte,parada_autobus,512 Viviendas,"Parada de autobús: 512 Viviendas (Puerto Real). WGS84: 36.530574, -6.196301.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Puerto Real,36.530574,-6.196301,2026-08-28
TRANS-PAR-0002,transporte,parada_autobus,512 Viviendas V,"Parada de autobús: 512 Viviendas V (Puerto Real). WGS84: 36.530409, -6.196348.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Puerto Real,36.530409,-6.196348,2026-08-28
TRANS-PAR-0003,transporte,parada_autobus,A-2078 Venta El Cepo,"Parada de autobús: A-2078 Venta El Cepo (El Puerto de Santa María). WGS84: 36.666621, -6.246744.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,El Puerto de Santa María,36.666621,-6.246744,2026-08-28
TRANS-PAR-0004,transporte,parada_autobus,A-2078 Venta El Cepo V,"Parada de autobús: A-2078 Venta El Cepo V (El Puerto de Santa María). WGS84: 36.666777, -6.247073.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,El Puerto de Santa María,36.666777,-6.247073,2026-08-28
TRANS-PAR-0005,transporte,parada_autobus,A-480 Venta El Menuito,"Parada de autobús: A-480 Venta El Menuito (Chipiona). WGS84: 36.74881, -6.380444.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Chipiona,36.74881,-6.380444,2026-08-28
TRANS-PAR-0006,transporte,parada_autobus,A-480 Venta El Menuito V,"Parada de autobús: A-480 Venta El Menuito V (Chipiona). WGS84: 36.748418, -6.381316.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Chipiona,36.748418,-6.381316,2026-08-28
TRANS-PAR-0007,transporte,parada_autobus,Aeropuerto,"Parada de autobús: Aeropuerto (Jerez de la Frontera). WGS84: 36.750337, -6.064587.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Jerez de la Frontera,36.750337,-6.064587,2026-08-28
TRANS-PAR-0008,transporte,parada_autobus,Alameda,"Parada de autobús: Alameda (San Roque). WGS84: 36.210231, -5.389231.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,San Roque,36.210231,-5.389231,2026-08-28
TRANS-PAR-0009,transporte,parada_autobus,Apeadero De Autobuses Conil,"Parada de autobús: Apeadero De Autobuses Conil (Conil de la Frontera). WGS84: 36.281926, -6.08141.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Conil de la Frontera,36.281926,-6.08141,2026-08-28
TRANS-PAR-0010,transporte,parada_autobus,Apeadero De Autobuses De Costa Ballena,"Parada de autobús: Apeadero De Autobuses De Costa Ballena (Rota). WGS84: 36.692676, -6.407163.",Red de Consorcios de Transporte de Andalucía (GTFS),https://api.ctan.es/v1/datos/UNIFICADO/gtfs.zip,alta,Cádiz,Rota,36.692676,-6.407163,2026-08-28
