id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
RENFE-PAR-0001,transporte,estacion_cercanias,Aeropuerto de Jerez,"Estación/parada: Aeropuerto de Jerez (Jerez de la Frontera). WGS84: 36.751589, -6.065938.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Jerez de la Frontera,36.751589,-6.065938,2026-08-28
RENFE-PAR-0002,transporte,estacion_cercanias,Cortadura,"Estación/parada: Cortadura (Cádiz). WGS84: 36.494367, -6.268238.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Cádiz,36.494367,-6.268238,2026-08-28
RENFE-PAR-0003,transporte,estacion_cercanias,Cádiz,"Estación/parada: Cádiz. WGS84: 36.528935, -6.287972.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Cádiz,36.528935,-6.287972,2026-08-28
RENFE-PAR-0004,transporte,estacion_cercanias,Cádiz-Estadio,"Estación/parada: Cádiz-Estadio. WGS84: 36.502946, -6.272064.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Cádiz,36.502946,-6.272064,2026-08-28
RENFE-PAR-0005,transporte,estacion_cercanias,Jerez de la Frontera,"Estación/parada: Jerez de la Frontera. WGS84: 36.680022, -6.126603.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Jerez de la Frontera,36.680022,-6.126603,2026-08-28
RENFE-PAR-0006,transporte,estacion_cercanias,Las Aletas,"Estación/parada: Las Aletas (Puerto Real). WGS84: 36.544638, -6.199009.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Puerto Real,36.544638,-6.199009,2026-08-28
RENFE-PAR-0007,transporte,estacion_cercanias,Puerto Real,"Estación/parada: Puerto Real. WGS84: 36.530915, -6.185314.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Puerto Real,36.530915,-6.185314,2026-08-28
RENFE-PAR-0008,transporte,estacion_cercanias,Puerto de Santa María,"Estación/parada: Puerto de Santa María (El Puerto de Santa María). WGS84: 36.604072, -6.217926.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,El Puerto de Santa María,36.604072,-6.217926,2026-08-28
RENFE-PAR-0009,transporte,estacion_cercanias,Río Arillo,"Estación/parada: Río Arillo (San Fernando). WGS84: 36.457494, -6.223626.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,San Fernando,36.457494,-6.223626,2026-08-28
RENFE-PAR-0010,transporte,estacion_cercanias,San Fernando-Bahía Sur,"Estación/parada: San Fernando-Bahía Sur. WGS84: 36.468083, -6.206768.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,San Fernando,36.468083,-6.206768,2026-08-28
RENFE-PAR-0011,transporte,estacion_cercanias,San Fernando-Centro,"Estación/parada: San Fernando-Centro. WGS84: 36.475961, -6.194032.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,San Fernando,36.475961,-6.194032,2026-08-28
RENFE-PAR-0012,transporte,estacion_cercanias,San Severiano,"Estación/parada: San Severiano (Cádiz). WGS84: 36.521605, -6.280671.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Cádiz,36.521605,-6.280671,2026-08-28
RENFE-PAR-0013,transporte,estacion_cercanias,Segunda Aguada,"Estación/parada: Segunda Aguada (Cádiz). WGS84: 36.513532, -6.277013.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Cádiz,36.513532,-6.277013,2026-08-28
RENFE-PAR-0014,transporte,estacion_cercanias,Universidad de Cádiz,"Estación/parada: Universidad de Cádiz (Puerto Real). WGS84: 36.529251, -6.206169.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Puerto Real,36.529251,-6.206169,2026-08-28
RENFE-PAR-0015,transporte,estacion_cercanias,Valdelagrana,"Estación/parada: Valdelagrana (El Puerto de Santa María). WGS84: 36.584725, -6.216299.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,El Puerto de Santa María,36.584725,-6.216299,2026-08-28
TRANVIA-PAR-0001,transporte,parada_tranvia,Alameda Solano,"Estación/parada: Alameda Solano (Chiclana de la Frontera). WGS84: 36.425378, -6.144524.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Chiclana de la Frontera,36.425378,-6.144524,2026-08-28
TRANVIA-PAR-0002,transporte,parada_tranvia,Compañía de María,"Estación/parada: Compañía de María (San Fernando). WGS84: 36.460437, -6.201011.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,San Fernando,36.460437,-6.201011,2026-08-28
TRANVIA-PAR-0003,transporte,parada_tranvia,La Ardila,"Estación/parada: La Ardila (San Fernando). WGS84: 36.45625, -6.216027.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,San Fernando,36.45625,-6.216027,2026-08-28
TRANVIA-PAR-0004,transporte,parada_tranvia,La Hoya,"Estación/parada: La Hoya (Chiclana de la Frontera). WGS84: 36.411245, -6.139095.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Chiclana de la Frontera,36.411245,-6.139095,2026-08-28
TRANVIA-PAR-0005,transporte,parada_tranvia,Marquesado,"Estación/parada: Marquesado (Chiclana de la Frontera). WGS84: 36.42864, -6.143374.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Chiclana de la Frontera,36.42864,-6.143374,2026-08-28
TRANVIA-PAR-0006,transporte,parada_tranvia,Nuestra Señora de los Remedios,"Estación/parada: Nuestra Señora de los Remedios (Chiclana de la Frontera). WGS84: 36.420398, -6.144747.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Chiclana de la Frontera,36.420398,-6.144747,2026-08-28
TRANVIA-PAR-0007,transporte,parada_tranvia,Pelagatos,"Estación/parada: Pelagatos (Chiclana de la Frontera). WGS84: 36.408756, -6.134322.",Renfe Viajeros (GTFS Cercanías),https://data.renfe.com/es/dataset/horarios-cercanias,alta,Cádiz,Chiclana de la Frontera,36.408756,-6.134322,2026-08-28
