id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
WIKIDATA-0001,geografia,lugar,Q27511846,Q27511846. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q27511846,media,Cádiz,,,,2026-08-28
WIKIDATA-0002,geografia,lugar,Plage Chaqqar,Plage Chaqqar. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107040,media,Cádiz,,,,2026-08-28
WIKIDATA-0003,geografia,lugar,Plage Bakoura,Plage Bakoura. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107044,media,Cádiz,,,,2026-08-28
WIKIDATA-0004,geografia,lugar,Q27516537,Q27516537. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q27516537,media,Cádiz,,,,2026-08-28
WIKIDATA-0005,geografia,lugar,Plage Oued Allyene,Plage Oued Allyene. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107056,media,Cádiz,,,,2026-08-28
WIKIDATA-0006,geografia,lugar,Plage Des Amiraux,Plage Des Amiraux. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107057,media,Cádiz,,,,2026-08-28
WIKIDATA-0007,geografia,lugar,Plage Oued Lihoud,Plage Oued Lihoud. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29081172,media,Cádiz,,,,2026-08-28
WIKIDATA-0008,geografia,lugar,Plage Marqala,Plage Marqala. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107025,media,Cádiz,,,,2026-08-28
WIKIDATA-0009,geografia,lugar,Plage Dalya,Plage Dalya. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107122,media,Cádiz,,,,2026-08-28
WIKIDATA-0010,geografia,lugar,Plage Oued Tamassint,Plage Oued Tamassint. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107139,media,Cádiz,,,,2026-08-28
WIKIDATA-0011,geografia,lugar,Plage Lhammam,Plage Lhammam. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107158,media,Cádiz,,,,2026-08-28
WIKIDATA-0012,geografia,lugar,Lqassarine,Lqassarine. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q29107163,media,Cádiz,,,,2026-08-28
WIKIDATA-0013,geografia,lugar,Benzú,Benzú. playa de Ceuta. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q5726251,media,Cádiz,,,,2026-08-28
WIKIDATA-0014,geografia,lugar,Playa Nuestra Señora del Carmen,Playa Nuestra Señora del Carmen. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6078482,media,Cádiz,,,,2026-08-28
WIKIDATA-0015,geografia,lugar,Playa de la Hierbabuena,Playa de la Hierbabuena. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q16619835,media,Cádiz,,,,2026-08-28
WIKIDATA-0016,geografia,lugar,Q24021555,Q24021555. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24021555,media,Cádiz,,,,2026-08-28
WIKIDATA-0017,geografia,lugar,Q24024472,Q24024472. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024472,media,Cádiz,,,,2026-08-28
WIKIDATA-0018,geografia,lugar,Q24024578,Q24024578. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024578,media,Cádiz,,,,2026-08-28
WIKIDATA-0019,geografia,lugar,Q24024582,Q24024582. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024582,media,Cádiz,,,,2026-08-28
WIKIDATA-0020,geografia,lugar,Q24024632,Q24024632. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024632,media,Cádiz,,,,2026-08-28
WIKIDATA-0021,geografia,lugar,Q24024633,Q24024633. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024633,media,Cádiz,,,,2026-08-28
WIKIDATA-0022,geografia,lugar,Cala Isabel,Cala Isabel. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024634,media,Cádiz,,,,2026-08-28
WIKIDATA-0023,geografia,lugar,Playa del Castillejo,"Playa del Castillejo. Playa en Barbate (Andalucía, España). (provincia de Cádiz)",Wikidata,http://www.wikidata.org/entity/Q106943178,media,Cádiz,,,,2026-08-28
WIKIDATA-0024,geografia,lugar,Playa de Camposoto,Playa de Camposoto. Playa en San Fernando (España). (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q3276579,media,Cádiz,,,,2026-08-28
WIKIDATA-0025,geografia,lugar,Playa de la Barrosa,Playa de la Barrosa. playa de España. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q5945144,media,Cádiz,,,,2026-08-28
WIKIDATA-0026,geografia,lugar,Playa de Sancti Petri,Playa de Sancti Petri. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6079004,media,Cádiz,,,,2026-08-28
WIKIDATA-0027,geografia,lugar,Playa de la Victoria,Playa de la Victoria. playa de España. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6079146,media,Cádiz,,,,2026-08-28
WIKIDATA-0028,geografia,lugar,Playa de Cortadura,Playa de Cortadura. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q9060657,media,Cádiz,,,,2026-08-28
WIKIDATA-0029,geografia,lugar,Q24023182,Q24023182. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24023182,media,Cádiz,,,,2026-08-28
WIKIDATA-0030,geografia,lugar,Playa de Torregorda,Playa de Torregorda. playa en Cádiz. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q140669667,media,Cádiz,,,,2026-08-28
WIKIDATA-0031,geografia,lugar,playa de la Casería,"playa de la Casería. playa en San Fernando, Cádiz, España. (provincia de Cádiz)",Wikidata,http://www.wikidata.org/entity/Q6079100,media,Cádiz,,,,2026-08-28
WIKIDATA-0032,geografia,lugar,Playa de los Bateles,Playa de los Bateles. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6079181,media,Cádiz,,,,2026-08-28
WIKIDATA-0033,geografia,lugar,Playa Fuente del Gallo,Playa Fuente del Gallo. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24023640,media,Cádiz,,,,2026-08-28
WIKIDATA-0034,geografia,lugar,Q24023641,Q24023641. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24023641,media,Cádiz,,,,2026-08-28
WIKIDATA-0035,geografia,lugar,Q24024630,Q24024630. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024630,media,Cádiz,,,,2026-08-28
WIKIDATA-0036,geografia,lugar,Q24024639,Q24024639. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024639,media,Cádiz,,,,2026-08-28
WIKIDATA-0037,geografia,lugar,Q24024640,Q24024640. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024640,media,Cádiz,,,,2026-08-28
WIKIDATA-0038,geografia,lugar,Cala Puntalejo,Cala Puntalejo. cala en Conil de la Frontera. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q125758141,media,Cádiz,,,,2026-08-28
WIKIDATA-0039,geografia,lugar,Q24024471,Q24024471. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024471,media,Cádiz,,,,2026-08-28
WIKIDATA-0040,geografia,lugar,Cala en Roche,Cala en Roche. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024636,media,Cádiz,,,,2026-08-28
WIKIDATA-0041,geografia,lugar,Q24024638,Q24024638. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q24024638,media,Cádiz,,,,2026-08-28
WIKIDATA-0042,geografia,lugar,Paraje natural playa de los Lances,Paraje natural playa de los Lances. espacio protegido de España. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6061057,media,Cádiz,,,,2026-08-28
WIKIDATA-0043,geografia,lugar,Playa Chica,Playa Chica. Tarifa. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q6078339,media,Cádiz,,,,2026-08-28
WIKIDATA-0044,geografia,lugar,Cala Arenas,Cala Arenas. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q5018253,media,Cádiz,,,,2026-08-28
WIKIDATA-0045,geografia,lugar,Playa de Los Lances,Playa de Los Lances. playa de España. (provincia de Cádiz),Wikidata,http://www.wikidata.org/entity/Q5102776,media,Cádiz,,,,2026-08-28
